VP_Count,AP_Count,Attack_Type,Num_Macro_Runs,Num_Sim_Runs_Per_TH,Cores_M,TP_Threshold,Avg_TH_Original,Successful_Runs_Orig,Avg_TH_Augmented,Successful_Runs_Aug
5,9,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.98513173,1000
5,9,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99910245,1000
5,9,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
5,10,ANTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.99031676,1000
5,10,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.99269095,1000
5,10,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99970593,1000
5,10,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
5,11,ANTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.99374235,1000
5,11,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.99550494,1000
5,11,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99982940,1000
5,11,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
6,1,ANTERIOR,1000,1000,8,0.05000000,0.25900000,1000,0.39822306,1000
6,1,POSTERIOR,1000,1000,8,0.05000000,0.69400000,1000,0.37341511,1000
6,1,PINCER_DUAL,1000,1000,8,0.05000000,0.79700000,1000,0.54872673,1000
6,1,CONCURRENT,1000,1000,8,0.05000000,0.86400000,1000,0.83008996,1000
6,2,ANTERIOR,1000,1000,8,0.05000000,0.46600000,1000,0.63329592,1000
6,2,POSTERIOR,1000,1000,8,0.05000000,0.88800000,1000,0.61371926,1000
6,2,PINCER_DUAL,1000,1000,8,0.05000000,0.94700000,1000,0.79481924,1000
6,2,CONCURRENT,1000,1000,8,0.05000000,0.98300000,1000,0.97638207,1000
6,3,ANTERIOR,1000,1000,8,0.05000000,0.62000000,1000,0.78662326,1000
6,3,POSTERIOR,1000,1000,8,0.05000000,0.96800000,1000,0.76431335,1000
6,3,PINCER_DUAL,1000,1000,8,0.05000000,0.99400000,1000,0.92613216,1000
6,3,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,0.99865446,1000
6,4,ANTERIOR,1000,1000,8,0.05000000,0.74900000,1000,0.87590774,1000
6,4,POSTERIOR,1000,1000,8,0.05000000,0.99100000,1000,0.86791817,1000
6,4,PINCER_DUAL,1000,1000,8,0.05000000,0.99800000,1000,0.97210829,1000
6,4,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,0.99965793,1000
6,5,ANTERIOR,1000,1000,8,0.05000000,0.84900000,1000,0.93044144,1000
6,5,POSTERIOR,1000,1000,8,0.05000000,0.99800000,1000,0.92496687,1000
6,5,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.98966851,1000
6,5,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,0.99999536,1000
6,6,ANTERIOR,1000,1000,8,0.05000000,0.91600000,1000,0.96111561,1000
6,6,POSTERIOR,1000,1000,8,0.05000000,0.99800000,1000,0.95806121,1000
6,6,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99647649,1000
6,6,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
6,7,ANTERIOR,1000,1000,8,0.05000000,0.95200000,1000,0.97792606,1000
6,7,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.97938455,1000
6,7,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99858594,1000
6,7,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
6,8,ANTERIOR,1000,1000,8,0.05000000,0.98500000,1000,0.98772453,1000
6,8,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.98987931,1000
6,8,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99965734,1000
6,8,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
6,9,ANTERIOR,1000,1000,8,0.05000000,0.99700000,1000,0.99384729,1000
6,9,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.99516394,1000
6,9,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99984617,1000
6,9,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
6,10,ANTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.99632499,1000
6,10,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.99725988,1000
6,10,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99996632,1000
6,10,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
6,11,ANTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.99821081,1000
6,11,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.99900737,1000
6,11,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99999349,1000
6,11,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
7,1,ANTERIOR,1000,1000,8,0.05000000,0.25300000,1000,0.42396494,1000
7,1,POSTERIOR,1000,1000,8,0.05000000,0.72500000,1000,0.40823005,1000
7,1,PINCER_DUAL,1000,1000,8,0.05000000,0.81900000,1000,0.58886350,1000
7,1,CONCURRENT,1000,1000,8,0.05000000,0.89500000,1000,0.87199519,1000
7,2,ANTERIOR,1000,1000,8,0.05000000,0.45600000,1000,0.68958933,1000
7,2,POSTERIOR,1000,1000,8,0.05000000,0.93300000,1000,0.65768764,1000
7,2,PINCER_DUAL,1000,1000,8,0.05000000,0.96700000,1000,0.84098117,1000
7,2,CONCURRENT,1000,1000,8,0.05000000,0.99500000,1000,0.99267046,1000
7,3,ANTERIOR,1000,1000,8,0.05000000,0.65500000,1000,0.83552682,1000
7,3,POSTERIOR,1000,1000,8,0.05000000,0.97800000,1000,0.80983331,1000
7,3,PINCER_DUAL,1000,1000,8,0.05000000,0.99400000,1000,0.94504417,1000
7,3,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,0.99958517,1000
7,4,ANTERIOR,1000,1000,8,0.05000000,0.76400000,1000,0.91220231,1000
7,4,POSTERIOR,1000,1000,8,0.05000000,0.99500000,1000,0.90498577,1000
7,4,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.98168912,1000
7,4,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,0.99993373,1000
7,5,ANTERIOR,1000,1000,8,0.05000000,0.86400000,1000,0.95389198,1000
7,5,POSTERIOR,1000,1000,8,0.05000000,0.99900000,1000,0.95055520,1000
7,5,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99525773,1000
7,5,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
7,6,ANTERIOR,1000,1000,8,0.05000000,0.92400000,1000,0.97673149,1000
7,6,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.97630953,1000
7,6,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99829838,1000
7,6,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
7,7,ANTERIOR,1000,1000,8,0.05000000,0.96000000,1000,0.98861320,1000
7,7,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.98892853,1000
7,7,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99966025,1000
7,7,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
7,8,ANTERIOR,1000,1000,8,0.05000000,0.99000000,1000,0.99455299,1000
7,8,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.99471158,1000
7,8,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99990330,1000
7,8,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
7,9,ANTERIOR,1000,1000,8,0.05000000,0.99700000,1000,0.99741357,1000
7,9,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.99814304,1000
7,9,PINCER_DUAL,1000,1000,8,0.05000000,1.00000000,1000,0.99998178,1000
7,9,CONCURRENT,1000,1000,8,0.05000000,1.00000000,1000,1.00000000,1000
7,10,ANTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.99883565,1000
7,10,POSTERIOR,1000,1000,8,0.05000000,1.00000000,1000,0.99926552,1000
